:ID,:LABEL,content,metadata
Sentence_f9f11981-2aad-4ef7-82fc-c89470ebe263,Sentence,A driveway must not intersect a walkway leading to a play area.,{'ID': '88_Finnish_SafetyOfUse'}
Sentence_382038df-4d45-443d-a52a-8a83e6048d1e,Sentence,At least 30% of the ties shall be located in the immediate vicinity of the grid lines of the columns and the walls.,{'ID': '175_Finnish_StabilityOfStructures'}
Sentence_b5addb77-be99-45a2-8dc0-fdf5d1969a57,Sentence,Each column and wall shall be supplied with continuous vertical ties from the foundations to the roof level.,{'ID': '194_Finnish_StabilityOfStructures'}
Sentence_6d5428cc-90c2-477e-b20e-978a6d1cd403,Sentence,Edge columns and walls shall be tied to every floor and roof.,{'ID': '186_Finnish_StabilityOfStructures'}
Sentence_60205cf2-fa87-4195-9415-a6fb144a9b72,Sentence,"Entrances and passageways to playgrounds and recreation areas used in the wintertime, as well as street areas surrounding the building and other public areas, must be protected from snow and ice falling from the roof of the building using snow barriers, taking into account the pitch of the roof.",{'ID': '96_Finnish_SafetyOfUse'}
Sentence_89811586-c819-4eb5-99f5-c4fcefdb9520,Sentence,Fixed or linked seats must be arranged as rows of seating with an access route on the side of the rows.,{'ID': '107_Finnish_SafetyOfUse'}
Sentence_6e5e61dd-039d-4079-9c3f-f52fc12efefb,Sentence,For continuing horizontal structures the loaded area shall be calculated span by span.,{'ID': '12_Finnish_StabilityOfStructures'}
Sentence_fa8a6d84-eb99-490e-8169-3c65353fb553,Sentence,"For large roofs, where the smaller horizontal dimension of the roof is 50 m or more, and the topography is windswept, the value of the exposure coefficient shall be at least 1.",{'ID': '61_Finnish_StabilityOfStructures'}
Sentence_6d9a1e8e-6fe7-4234-951a-96fdc4598bd7,Sentence,"If parking spaces are provided for a building, an adequate number of them, but at least one, shall be intended for the use of a person with mobility and functional impairment.",{'ID': '12_Finnish_Accessibility'}
Sentence_bfdf95da-d422-47cd-83d7-a30a4969f2e6,Sentence,"If the internal ties must be centred on the supporting line, the minimum value of the tie force, 10 kN, will also be applied to internal ties.",{'ID': '180_Finnish_StabilityOfStructures'}
Sentence_4a82f789-a98a-4379-9b81-2a20cfba6c87,Sentence,"If the internal ties must be centred on the supporting line, the minimum value of the tie force, 70 kN, will also be applied to internal ties.",{'ID': '179_Finnish_StabilityOfStructures'}
Sentence_a8b3e54e-902c-4502-99a2-8c41d46f1416,Sentence,"If there are more than 60 chairs in a space, they must be linked to one another in at least four groups, unless the chairs are placed around tables.",{'ID': '106_Finnish_SafetyOfUse'}
Sentence_56517433-cf40-4b88-a9d4-18e61e0e9993,Sentence,"In addition, on both sides of the toilet seat there shall be a free space of at least 800 millimetres.",{'ID': '55_Finnish_Accessibility'}
Sentence_0085ecdd-f2f0-45f5-948d-ded697c69866,Sentence,"In addition, on one side of the toilet seat there shall be a free space of at least 800 millimetres.",{'ID': '44_Finnish_Accessibility'}
Sentence_cb2f2c09-8ae6-42a4-ac21-861c912c30f9,Sentence,"In buildings more than 9 metres and at most 28 metres in height, the attic and roof must be accessible via the interior and exterior of the building; in buildings more than 28 metres in height, these must be accessible via the interior.",{'ID': '126_Finnish_SafetyOfUse'}
Sentence_ed2cca4a-50f7-470d-9752-dd8722385a24,Sentence,"In dwellings and other premises that are used by children, restrictors must be installed on windows and other openings where there may be a danger of falling, and these must be such that they limit the easy opening of the window to 100 millimetres.",{'ID': '80_Finnish_SafetyOfUse'}
Sentence_26980508-105c-49db-8595-bf001a48d757,Sentence,"In rooms with no fixed seats or furnishings, the number of persons shall be calculated to be two persons per square metre.",{'ID': '103_Finnish_SafetyOfUse'}
Sentence_4e4fdf56-c45b-4d89-b18f-7a2f24a41ba9,Sentence,"In spaces intended for more than 60 persons, the width of the access route must be at least 1,200 millimetres.",{'ID': '116_Finnish_SafetyOfUse'}
Sentence_d687ab7a-74e0-4d2e-8aad-27e009651634,Sentence,Joints between vertical and horizontal structures shall always be designed without a reduction factor.,{'ID': '13_Finnish_StabilityOfStructures'}
Sentence_7c74b365-6fdd-494d-9675-3ae036c55348,Sentence,Ladders and other structural elements at emergency exits and service routes must be designed and constructed so that they can also be used in an emergency situation.,{'ID': '82_Finnish_SafetyOfUse'}
Sentence_a86b58e8-046f-44b7-8e1b-00c876c8c647,Sentence,"Parapets in categories A to E and panel parts of walls acting as parapets, as well as their fasteners, shall be designed to the concentrated load Qk = 0.3 kN acting on a random spot.",{'ID': '30_Finnish_StabilityOfStructures'}
Sentence_0f2dbc3b-0f3e-444e-a688-ed8faebd1226,Sentence,Seats must be fixed to a base if the floor of the seating area is sloped or if there are level differences between the floors of the respective rows of seats.,{'ID': '105_Finnish_SafetyOfUse'}
Sentence_5ed671ca-0cd0-47e2-ad68-1d910e5ddbdf,Sentence,The access route in the seating area or standing auditorium must be directly accessible from the end of each row.,{'ID': '114_Finnish_SafetyOfUse'}
Sentence_83ff563b-077a-4849-b526-382fbb012647,Sentence,The breaking of a glass structure or other light-permeable structure of a building must not cause a danger of falling or a danger of injury from fragments falling onto persons below.,{'ID': '67_Finnish_SafetyOfUse'}
Sentence_73b4b305-8971-489a-a290-f996e1f63e19,Sentence,"The clear width of the door and opening leading to room spaces of a non-residential building as well as to residential rooms of a residential building, necessary spaces serving residence and spaces serving the use of the building shall be at least 800 millimetres.",{'ID': '19_Finnish_Accessibility'}
Sentence_53bb982d-5260-4a69-a6dd-71e4f074e676,Sentence,The depth of standing rows must be at least half a metre.,{'ID': '111_Finnish_SafetyOfUse'}
Sentence_66249fda-33bf-4d93-8bf9-53fb82ad0e95,Sentence,"The driveway and parking area at a plot or building site must be separated from pedestrian, play and recreation areas.",{'ID': '87_Finnish_SafetyOfUse'}
Sentence_a4dc06ab-99c3-4c8b-b295-eb3e6a64320a,Sentence,"The free height from the ground or from the surface of a driveway or walkway of the lower edge of a structural element, device or equipment protruding from the building, such as a balcony, bay window, sign, lighting device or awning, must be at least 2.2 metres, unless the area is protected so as to prevent the danger of collision.",{'ID': '99_Finnish_SafetyOfUse'}
Sentence_a7e4ad57-ea09-4d8e-8b3a-4d33447237ab,Sentence,"The free opening of the vertical hatch or window of an emergency exit must be at least 600 millimetres in height and 500 millimetres in width; however, the sum of these must be at least 1,500 millimetres.",{'ID': '83_Finnish_SafetyOfUse'}
Sentence_959b4ba1-2cf2-4ae9-84d4-055e9c0040f1,Sentence,The inaccuracies of the crane wheels should be determined together with the crane supplier.,{'ID': '229_Finnish_StabilityOfStructures'}
Sentence_2cfc6994-0cbe-4bdf-9ed5-af8d40c79d8c,Sentence,The load shall be stated on this sign in kg/m2.,{'ID': '22_Finnish_StabilityOfStructures'}
Sentence_493ec553-7761-4d1e-aa98-05d925ddf955,Sentence,The opening of a horizontal hatch must be at least 600 x 600 millimetres.,{'ID': '84_Finnish_SafetyOfUse'}
Sentence_cea6e7bd-c494-4146-9f81-3fd2ed64a2a6,Sentence,The slope of the floor surface in the seating area and access route may not exceed 8 per cent (1:12.5).,{'ID': '119_Finnish_SafetyOfUse'}
Sentence_75c60084-6878-472d-8694-e8739e0dd76c,Sentence,The width of access routes in assembly areas with a maximum capacity of 60 persons must be at least 900 millimetres.,{'ID': '115_Finnish_SafetyOfUse'}
Sentence_2d94a2e6-2ebd-4c3f-b14a-91741a0ab4b3,Sentence,Their glazing must be made of safety glass.,{'ID': '70_Finnish_SafetyOfUse'}
Sentence_993e54cc-49c3-43cb-995e-1a951c93c775,Sentence,"When a warning sign is not posted, the areas shall be designed to an axle load Qk and also to an axle group load equal to 190 kN.",{'ID': '25_Finnish_StabilityOfStructures'}
Sentence_f41fb8da-16bd-4404-accb-e32727f3736a,Sentence,"Windows, glass walls and glass doors into which there is a danger of collision must be marked in such a way that they can be easily noticed.",{'ID': '69_Finnish_SafetyOfUse'}
Sentence_dae0db09-fd4b-4f2c-99c0-cd742b19d17a,Sentence,"A glass structure or other light-permeable structure, along with its mountings, must withstand the load to which it is normally subject, unless the structure is protected by a fixed collision barrier.",{'ID': '68_Finnish_SafetyOfUse'}
Sentence_f27c9fb4-dc28-494c-a277-a51360cdfdb8,Sentence,A handrail and its ending must be shaped safely and must continue past the start and end points of the structure.,{'ID': '57_Finnish_SafetyOfUse'}
Sentence_511c1a7f-08b9-48ec-aea6-9b749fdf31a1,Sentence,"A non-residential building shall, considering the intended use and functional units of the building and distances in the building, have an adequate number of appropriately located toilet facilities which are suitable for users of wheelchairs and walking frames with wheels.",{'ID': '51_Finnish_Accessibility'}
Sentence_cf35d4a4-3170-421b-9be1-b68d928eed1d,Sentence,"A roof with a pitch greater than 1:8 must be constructed making appropriate use of walkways, roof ladders, safety ladders, roof stairs, roof treads and foot rails.",{'ID': '125_Finnish_SafetyOfUse'}
Sentence_d796dece-45f6-4527-a151-c59b007e9028,Sentence,"A safe and marked access route must be reserved for pedestrians in connection with vehicle traffic and goods transport routes, doors and gates in the yards of buildings other than single-family houses, if pedestrian traffic through them is necessary.",{'ID': '132_Finnish_SafetyOfUse'}
Sentence_d3c5b819-2fd9-461f-b0cc-ac1dd14b45dc,Sentence,"A sewer installed in the ground shall withstand the load imposed by soil, soil corrosion as well as subsidence of soil.",{'ID': '144_Finnish_Health-WaterAndSewerage'}
Sentence_319372c4-2f9b-4594-8150-b9fd2c7670c4,Sentence,A stack vent located in cold premises shall be thermally insulated.,{'ID': '136_Finnish_Health-WaterAndSewerage'}
Sentence_2032e456-bf80-4342-90dc-0da164e00a9a,Sentence,A unit that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.,{'ID': '7_UK_DocF_V1_Ventilation'}
Sentence_2cb4937d-9ec4-4013-8e9b-318a8adae27a,Sentence,Account should be taken of outside noise when considering whether openable windows are appropriate for purge ventilation.,{'ID': '24_UK_DocF_V1_Ventilation'}
Sentence_72e7ed0c-9e73-46b2-a919-20f3fea337fd,Sentence,"An area with a potentially flammable or explosive atmosphere must not be located in a building where there are dwellings, accommodation premises, institutions or assembly and business premises.",{'ID': '56_Finnish_FireSafety'}
Sentence_a5e9c36f-358f-4375-943c-6d5b89c82647,Sentence,"Any abrupt level differences of over 0.7 metres and any precipices located in the vicinity of common play and recreation areas associated with buildings with more than two dwellings must be indicated by appropriate barriers or suitable planted areas, or outfitted with a base that cushions any fall.",{'ID': '92_Finnish_SafetyOfUse'}
Sentence_9f5fe460-cae1-4653-a951-38e31f3ed15d,Sentence,"Any restrictors placed on windows used as emergency exits must, however, be easily releasable by an adult.",{'ID': '81_Finnish_SafetyOfUse'}
Sentence_850d22c2-6ff0-4ab6-89e1-75368bad5aa6,Sentence,Barriers on loading docks must not impede loading and unloading.,{'ID': '136_Finnish_SafetyOfUse'}
Sentence_7aceb502-0ee4-49d6-b9b1-0bed9d77d3fd,Sentence,Combustion appliances must operate safely whether or not fans are running.,{'ID': '11_UK_DocF_V1_Ventilation'}
Sentence_a9c88566-e4e5-4cba-8165-9916820d9cc5,Sentence,"Doors, gates and boom barriers must operate safely and in such a way that they do not cause a danger of an accident.",{'ID': '75_Finnish_SafetyOfUse'}
Sentence_d5e2fb3e-df0c-48bd-8a09-734822ff086d,Sentence,"For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible.",{'ID': '4_UK_DocF_V1_Ventilation'}
Sentence_596cc55c-f50f-4155-962f-832b87226a8e,Sentence,"For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy.",{'ID': '23_UK_DocF_V1_Ventilation'}
Sentence_b5edf19f-56df-436a-89f0-9ab5bf6963ea,Sentence,"If necessary, fire compartments shall be partitioned in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures.",{'ID': '106_Finnish_FireSafety'}
Sentence_4b510cad-fefb-44be-a9cb-a26e0c42994c,Sentence,"If the building is connected to a heating system where heat is conveyed via heat pipes external to the building from a shared heat exchanger or heat generation unit to several buildings, the heat loss from those pipes shall be divided between the buildings in proportion to their areas.",{'ID': '101_Finnish_EnergyEfficiency'}
Sentence_7db23e3b-7063-47a3-b65e-5d02ad78c922,Sentence,"In a natural ventilation system, the ventilation valves shall be easy to close.",{'ID': '49_Finnish_Health-IndoorClimateAndVentilation'}
Sentence_9eb5bf01-3810-44e3-802b-7c7eadad1831,Sentence,"Mechanical ventilation systems, including both continuous and intermittent mechanical ventilation, should be designed and installed to minimise noise.",{'ID': '21_UK_DocF_V1_Ventilation'}
Sentence_8f2f0722-46e5-4c3a-937d-51edde58141a,Sentence,Routes intended for vehicle traffic must be located in a way that does not restrict pedestrian routes or the space required for opening doors and gates.,{'ID': '90_Finnish_SafetyOfUse'}
Sentence_d178dd92-6cf3-4f68-a9ba-44b97d74204a,Sentence,"Staircases must be safe, sufficiently spacious and suitable for their purpose.",{'ID': '13_Finnish_SafetyOfUse'}
Sentence_05dc10dc-6a9a-4e83-93d3-79fff4819f99,Sentence,Standing areas must be terraced so that it is safe to move in the rows.,{'ID': '110_Finnish_SafetyOfUse'}
Sentence_7e369e4c-7768-4a7a-bd9c-41e2aa037b43,Sentence,The air flows shall be designed so that the average carbon monoxide concentration in a parking garage for motor vehicles during the hour of use assessed as the most critical does not exceed 35 mg/m3 (30 ppm).,{'ID': '61_Finnish_Health-IndoorClimateAndVentilation'}
Sentence_1181f374-2034-44c4-8823-26f80bd0ec02,Sentence,The barrier must not feature horizontal structures or patterns that make it possible to climb.,{'ID': '41_Finnish_SafetyOfUse'}
Sentence_a2338c90-f9bf-470e-9917-4318b1c07006,Sentence,The lighting must not cause glare that endangers safety.,{'ID': '63_Finnish_SafetyOfUse'}
Sentence_47b51cfa-bda8-4971-83c1-5aa198c59297,Sentence,The loading area must be safe and appropriate.,{'ID': '135_Finnish_SafetyOfUse'}
Sentence_528e7551-acfd-4fa6-be24-9c91bd6d7679,Sentence,The materials and fittings shall be compatible.,{'ID': '149_Finnish_Health-WaterAndSewerage'}
Sentence_d12808b8-b64d-4742-8026-ba93fe86246d,Sentence,The pumping station shall be located in a place where it can be easily inspected and serviced.,{'ID': '132_Finnish_Health-WaterAndSewerage'}
Sentence_244aeb26-ba33-498c-8a28-989b5aa879a8,Sentence,The pumping station shall be water tight and resistant to earth pressure and it may not cause odour problem.,{'ID': '129_Finnish_Health-WaterAndSewerage'}
Sentence_90b450dc-e913-48b3-bd17-dbac5b6fb057,Sentence,The separator devices shall be located so that they can be serviced and emptied easily and without causing problems.,{'ID': '153_Finnish_Health-WaterAndSewerage'}
Sentence_d5cb0429-ffef-43c5-9789-a3611c04446a,Sentence,"The supports and fastening points of water pipes shall be such that neither heat expansion nor forces generated by water flow cause the pipes to shift, loosen, break or make disturbing noises.",{'ID': '89_Finnish_Health-WaterAndSewerage'}
Sentence_716fa732-f3c7-43ad-a4e3-fff43a841018,Sentence,The vehicle traffic area of a building and its courtyard must be safe and appropriate.,{'ID': '131_Finnish_SafetyOfUse'}
