:START_ID,:END_ID,:TYPE
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,provide_access,HAS_ENTITY
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,entrance_level,HAS_ENTITY
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,level_with_entry,HAS_ENTITY
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,dwelling,HAS_ENTITY
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,space,HAS_ENTITY
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,serving_the_use_of_the_building,HAS_ENTITY
lift,provide_access,NECESSITY
provide_access,entrance_level,NECESSITY
entrance_level,level_with_entry,NECESSITY
level_with_entry,dwelling,NECESSITY
dwelling,space,NECESSITY
space,serving_the_use_of_the_building,NECESSITY
lift,provide_access,SELECTION
provide_access,entrance_level,SELECTION
entrance_level,level_with_entry,SELECTION
level_with_entry,dwelling,SELECTION
dwelling,space,SELECTION
space,serving_the_use_of_the_building,SELECTION
lift,provide_access,NONE
provide_access,entrance_level,NONE
entrance_level,level_with_entry,NONE
level_with_entry,dwelling,NONE
dwelling,space,NONE
space,serving_the_use_of_the_building,NONE
lift,provide_access,PART_OF
provide_access,entrance_level,PART_OF
entrance_level,level_with_entry,PART_OF
level_with_entry,dwelling,PART_OF
dwelling,space,PART_OF
space,serving_the_use_of_the_building,PART_OF
Sentence_2ef73ac0-d424-4e28-9782-3dbaf6e0a046,Attics,HAS_ENTITY
Sentence_2ef73ac0-d424-4e28-9782-3dbaf6e0a046,uppermost,HAS_ENTITY
Sentence_2ef73ac0-d424-4e28-9782-3dbaf6e0a046,floor_voids,HAS_ENTITY
Sentence_2ef73ac0-d424-4e28-9782-3dbaf6e0a046,divided_into_400_m2_parts,HAS_ENTITY
Attics,uppermost,NECESSITY
uppermost,floor_voids,NECESSITY
floor_voids,divided_into_400_m2_parts,NECESSITY
Attics,uppermost,SELECTION
uppermost,floor_voids,SELECTION
floor_voids,divided_into_400_m2_parts,SELECTION
Attics,uppermost,NONE
uppermost,floor_voids,NONE
floor_voids,divided_into_400_m2_parts,NONE
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,landing,HAS_ENTITY
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,in_front_of_the_outside_door,HAS_ENTITY
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,1_500_millimetres,HAS_ENTITY
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,wide,HAS_ENTITY
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,1_500_millimetres,HAS_ENTITY
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,long,HAS_ENTITY
landing,in_front_of_the_outside_door,GREATER_EQUAL
in_front_of_the_outside_door,1_500_millimetres,GREATER_EQUAL
1_500_millimetres,wide,GREATER_EQUAL
wide,1_500_millimetres,GREATER_EQUAL
1_500_millimetres,long,GREATER_EQUAL
landing,in_front_of_the_outside_door,PART_OF
in_front_of_the_outside_door,1_500_millimetres,PART_OF
1_500_millimetres,wide,PART_OF
wide,1_500_millimetres,PART_OF
1_500_millimetres,long,PART_OF
landing,in_front_of_the_outside_door,SELECTION
in_front_of_the_outside_door,1_500_millimetres,SELECTION
1_500_millimetres,wide,SELECTION
wide,1_500_millimetres,SELECTION
1_500_millimetres,long,SELECTION
landing,in_front_of_the_outside_door,NONE
in_front_of_the_outside_door,1_500_millimetres,NONE
1_500_millimetres,wide,NONE
wide,1_500_millimetres,NONE
1_500_millimetres,long,NONE
Sentence_43e26628-8b62-4cc6-91e2-284335df1564,rooms,HAS_ENTITY
Sentence_43e26628-8b62-4cc6-91e2-284335df1564,used_for_sleeping_or_rest,HAS_ENTITY
Sentence_43e26628-8b62-4cc6-91e2-284335df1564,one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,HAS_ENTITY
Sentence_43e26628-8b62-4cc6-91e2-284335df1564,25_decibels,HAS_ENTITY
rooms,used_for_sleeping_or_rest,LESS_EQUAL
used_for_sleeping_or_rest,one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,LESS_EQUAL
one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,25_decibels,LESS_EQUAL
rooms,used_for_sleeping_or_rest,PART_OF
used_for_sleeping_or_rest,one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,PART_OF
one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,25_decibels,PART_OF
rooms,used_for_sleeping_or_rest,SELECTION
used_for_sleeping_or_rest,one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,SELECTION
one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,25_decibels,SELECTION
Sentence_56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,Storage_premises,HAS_ENTITY
Sentence_56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,fire_load,HAS_ENTITY
Sentence_56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,1_200_MJ_m2,HAS_ENTITY
Sentence_56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,not_permitted_within_the_building,HAS_ENTITY
Storage_premises,fire_load,GREATER
fire_load,1_200_MJ_m2,GREATER
1_200_MJ_m2,not_permitted_within_the_building,GREATER
Storage_premises,fire_load,NECESSITY
fire_load,1_200_MJ_m2,NECESSITY
1_200_MJ_m2,not_permitted_within_the_building,NECESSITY
Storage_premises,fire_load,PART_OF
fire_load,1_200_MJ_m2,PART_OF
1_200_MJ_m2,not_permitted_within_the_building,PART_OF
Storage_premises,fire_load,NONE
fire_load,1_200_MJ_m2,NONE
1_200_MJ_m2,not_permitted_within_the_building,NONE
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,domestic,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,hot_water_cylinder,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,located_inside_the_building_envelope,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,50,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,calculated,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,domestic_hot_water_cylinder_heat_loss,HAS_ENTITY
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,added_to_the_thermal_load_of_the_spaces_of_the_building,HAS_ENTITY
domestic,hot_water_cylinder,NONE
hot_water_cylinder,located_inside_the_building_envelope,NONE
located_inside_the_building_envelope,50,NONE
50,calculated,NONE
calculated,domestic_hot_water_cylinder_heat_loss,NONE
domestic_hot_water_cylinder_heat_loss,added_to_the_thermal_load_of_the_spaces_of_the_building,NONE
domestic,hot_water_cylinder,PART_OF
hot_water_cylinder,located_inside_the_building_envelope,PART_OF
located_inside_the_building_envelope,50,PART_OF
50,calculated,PART_OF
calculated,domestic_hot_water_cylinder_heat_loss,PART_OF
domestic_hot_water_cylinder_heat_loss,added_to_the_thermal_load_of_the_spaces_of_the_building,PART_OF
domestic,hot_water_cylinder,SELECTION
hot_water_cylinder,located_inside_the_building_envelope,SELECTION
located_inside_the_building_envelope,50,SELECTION
50,calculated,SELECTION
calculated,domestic_hot_water_cylinder_heat_loss,SELECTION
domestic_hot_water_cylinder_heat_loss,added_to_the_thermal_load_of_the_spaces_of_the_building,SELECTION
domestic,hot_water_cylinder,NECESSITY
hot_water_cylinder,located_inside_the_building_envelope,NECESSITY
located_inside_the_building_envelope,50,NECESSITY
50,calculated,NECESSITY
calculated,domestic_hot_water_cylinder_heat_loss,NECESSITY
domestic_hot_water_cylinder_heat_loss,added_to_the_thermal_load_of_the_spaces_of_the_building,NECESSITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,sound_system,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,auditorium,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,restaurant,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,conference_facility,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,facility_for_festive_occasions,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,teaching_facility,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,similar_assembly_facility,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,public_service_facility,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,induction_loop,HAS_ENTITY
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,similar_sound_transmission_system,HAS_ENTITY
sound_system,auditorium,NONE
auditorium,restaurant,NONE
restaurant,conference_facility,NONE
conference_facility,facility_for_festive_occasions,NONE
facility_for_festive_occasions,teaching_facility,NONE
teaching_facility,similar_assembly_facility,NONE
similar_assembly_facility,public_service_facility,NONE
public_service_facility,induction_loop,NONE
induction_loop,similar_sound_transmission_system,NONE
sound_system,auditorium,NECESSITY
auditorium,restaurant,NECESSITY
restaurant,conference_facility,NECESSITY
conference_facility,facility_for_festive_occasions,NECESSITY
facility_for_festive_occasions,teaching_facility,NECESSITY
teaching_facility,similar_assembly_facility,NECESSITY
similar_assembly_facility,public_service_facility,NECESSITY
public_service_facility,induction_loop,NECESSITY
induction_loop,similar_sound_transmission_system,NECESSITY
sound_system,auditorium,PART_OF
auditorium,restaurant,PART_OF
restaurant,conference_facility,PART_OF
conference_facility,facility_for_festive_occasions,PART_OF
facility_for_festive_occasions,teaching_facility,PART_OF
teaching_facility,similar_assembly_facility,PART_OF
similar_assembly_facility,public_service_facility,PART_OF
public_service_facility,induction_loop,PART_OF
induction_loop,similar_sound_transmission_system,PART_OF
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,spread_of_fire,HAS_ENTITY
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,voids,HAS_ENTITY
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,wall_type,HAS_ENTITY
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,building_elements,HAS_ENTITY
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,restricted_at_least_by_storey,HAS_ENTITY
spread_of_fire,voids,PART_OF
voids,wall_type,PART_OF
wall_type,building_elements,PART_OF
building_elements,restricted_at_least_by_storey,PART_OF
spread_of_fire,voids,SELECTION
voids,wall_type,SELECTION
wall_type,building_elements,SELECTION
building_elements,restricted_at_least_by_storey,SELECTION
spread_of_fire,voids,NONE
voids,wall_type,NONE
wall_type,building_elements,NONE
building_elements,restricted_at_least_by_storey,NONE
spread_of_fire,voids,NECESSITY
voids,wall_type,NECESSITY
wall_type,building_elements,NECESSITY
building_elements,restricted_at_least_by_storey,NECESSITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,dwelling,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,turning_space,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,diameter,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,1_500_millimetres,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,hallway,HAS_ENTITY
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,kitchen,HAS_ENTITY
dwelling,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,PART_OF
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,turning_space,PART_OF
turning_space,diameter,PART_OF
diameter,1_500_millimetres,PART_OF
1_500_millimetres,hallway,PART_OF
hallway,kitchen,PART_OF
dwelling,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,NONE
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,turning_space,NONE
turning_space,diameter,NONE
diameter,1_500_millimetres,NONE
1_500_millimetres,hallway,NONE
hallway,kitchen,NONE
dwelling,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,GREATER_EQUAL
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,turning_space,GREATER_EQUAL
turning_space,diameter,GREATER_EQUAL
diameter,1_500_millimetres,GREATER_EQUAL
1_500_millimetres,hallway,GREATER_EQUAL
hallway,kitchen,GREATER_EQUAL
dwelling,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,SELECTION
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,turning_space,SELECTION
turning_space,diameter,SELECTION
diameter,1_500_millimetres,SELECTION
1_500_millimetres,hallway,SELECTION
hallway,kitchen,SELECTION
dwelling,intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,NECESSITY
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,turning_space,NECESSITY
turning_space,diameter,NECESSITY
diameter,1_500_millimetres,NECESSITY
1_500_millimetres,hallway,NECESSITY
hallway,kitchen,NECESSITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,building,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,dwellings,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,accommodation,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,patient_rooms,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,designed_and_implemented,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,reverberation_time,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,staircase,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,exit_route,HAS_ENTITY
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,1_3_seconds,HAS_ENTITY
building,dwellings,PART_OF
dwellings,accommodation,PART_OF
accommodation,patient_rooms,PART_OF
patient_rooms,designed_and_implemented,PART_OF
designed_and_implemented,reverberation_time,PART_OF
reverberation_time,staircase,PART_OF
staircase,exit_route,PART_OF
exit_route,1_3_seconds,PART_OF
building,dwellings,NECESSITY
dwellings,accommodation,NECESSITY
accommodation,patient_rooms,NECESSITY
patient_rooms,designed_and_implemented,NECESSITY
designed_and_implemented,reverberation_time,NECESSITY
reverberation_time,staircase,NECESSITY
staircase,exit_route,NECESSITY
exit_route,1_3_seconds,NECESSITY
building,dwellings,NONE
dwellings,accommodation,NONE
accommodation,patient_rooms,NONE
patient_rooms,designed_and_implemented,NONE
designed_and_implemented,reverberation_time,NONE
reverberation_time,staircase,NONE
staircase,exit_route,NONE
exit_route,1_3_seconds,NONE
building,dwellings,LESS_EQUAL
dwellings,accommodation,LESS_EQUAL
accommodation,patient_rooms,LESS_EQUAL
patient_rooms,designed_and_implemented,LESS_EQUAL
designed_and_implemented,reverberation_time,LESS_EQUAL
reverberation_time,staircase,LESS_EQUAL
staircase,exit_route,LESS_EQUAL
exit_route,1_3_seconds,LESS_EQUAL
building,dwellings,SELECTION
dwellings,accommodation,SELECTION
accommodation,patient_rooms,SELECTION
patient_rooms,designed_and_implemented,SELECTION
designed_and_implemented,reverberation_time,SELECTION
reverberation_time,staircase,SELECTION
staircase,exit_route,SELECTION
exit_route,1_3_seconds,SELECTION
Sentence_8bb9aee2-a950-4a65-a715-287035906789,Spaces,HAS_ENTITY
Sentence_8bb9aee2-a950-4a65-a715-287035906789,non_residential_building,HAS_ENTITY
Sentence_8bb9aee2-a950-4a65-a715-287035906789,common_spaces,HAS_ENTITY
Sentence_8bb9aee2-a950-4a65-a715-287035906789,residential_building,HAS_ENTITY
Sentence_8bb9aee2-a950-4a65-a715-287035906789,fixtures___fittings_and_fixed_equipment,HAS_ENTITY
Sentence_8bb9aee2-a950-4a65-a715-287035906789,suitable_for_persons_with_mobility_and_functional_impairment,HAS_ENTITY
Spaces,non_residential_building,PART_OF
non_residential_building,common_spaces,PART_OF
common_spaces,residential_building,PART_OF
residential_building,fixtures___fittings_and_fixed_equipment,PART_OF
fixtures___fittings_and_fixed_equipment,suitable_for_persons_with_mobility_and_functional_impairment,PART_OF
Spaces,non_residential_building,NECESSITY
non_residential_building,common_spaces,NECESSITY
common_spaces,residential_building,NECESSITY
residential_building,fixtures___fittings_and_fixed_equipment,NECESSITY
fixtures___fittings_and_fixed_equipment,suitable_for_persons_with_mobility_and_functional_impairment,NECESSITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,dwelling,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,one,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,toilet_and_washing_facility,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,free_space,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,diameter,HAS_ENTITY
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,1_500_millimetres,HAS_ENTITY
dwelling,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,PART_OF
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,one,PART_OF
one,toilet_and_washing_facility,PART_OF
toilet_and_washing_facility,free_space,PART_OF
free_space,diameter,PART_OF
diameter,1_500_millimetres,PART_OF
dwelling,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,NECESSITY
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,one,NECESSITY
one,toilet_and_washing_facility,NECESSITY
toilet_and_washing_facility,free_space,NECESSITY
free_space,diameter,NECESSITY
diameter,1_500_millimetres,NECESSITY
dwelling,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,NONE
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,one,NONE
one,toilet_and_washing_facility,NONE
toilet_and_washing_facility,free_space,NONE
free_space,diameter,NONE
diameter,1_500_millimetres,NONE
dwelling,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,GREATER_EQUAL
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,one,GREATER_EQUAL
one,toilet_and_washing_facility,GREATER_EQUAL
toilet_and_washing_facility,free_space,GREATER_EQUAL
free_space,diameter,GREATER_EQUAL
diameter,1_500_millimetres,GREATER_EQUAL
dwelling,intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,SELECTION
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,one,SELECTION
one,toilet_and_washing_facility,SELECTION
toilet_and_washing_facility,free_space,SELECTION
free_space,diameter,SELECTION
diameter,1_500_millimetres,SELECTION
Sentence_a0d4a888-a5f8-449e-b28c-43fd1003dca3,fire_compartment,HAS_ENTITY
Sentence_a0d4a888-a5f8-449e-b28c-43fd1003dca3,partitioned_by_accommodation_room,HAS_ENTITY
fire_compartment,partitioned_by_accommodation_room,NECESSITY
Sentence_b4ae0bf1-8dec-4e43-b10b-4a593780d742,Partitioning,HAS_ENTITY
Sentence_b4ae0bf1-8dec-4e43-b10b-4a593780d742,doors,HAS_ENTITY
Sentence_b4ae0bf1-8dec-4e43-b10b-4a593780d742,accommodation_premises,HAS_ENTITY
Sentence_b4ae0bf1-8dec-4e43-b10b-4a593780d742,closing_devices,HAS_ENTITY
Partitioning,doors,PART_OF
doors,accommodation_premises,PART_OF
accommodation_premises,closing_devices,PART_OF
Partitioning,doors,SELECTION
doors,accommodation_premises,SELECTION
accommodation_premises,closing_devices,SELECTION
Partitioning,doors,NECESSITY
doors,accommodation_premises,NECESSITY
accommodation_premises,closing_devices,NECESSITY
Sentence_d941229d-4de4-4873-9704-c207a9b673c8,exit_enclosure,HAS_ENTITY
Sentence_d941229d-4de4-4873-9704-c207a9b673c8,doors,HAS_ENTITY
Sentence_d941229d-4de4-4873-9704-c207a9b673c8,open_separately_into_each_adjoining_fire_compartment_without_a_need_to_open_the_doors_at_the_same_time,HAS_ENTITY
exit_enclosure,doors,PART_OF
doors,open_separately_into_each_adjoining_fire_compartment_without_a_need_to_open_the_doors_at_the_same_time,PART_OF
exit_enclosure,doors,SELECTION
doors,open_separately_into_each_adjoining_fire_compartment_without_a_need_to_open_the_doors_at_the_same_time,SELECTION
Sentence_da4d5959-6e64-4e04-a1f3-8b42b6addab0,outdoor,HAS_ENTITY
Sentence_da4d5959-6e64-4e04-a1f3-8b42b6addab0,air_flow,HAS_ENTITY
Sentence_da4d5959-6e64-4e04-a1f3-8b42b6addab0,used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,HAS_ENTITY
Sentence_da4d5959-6e64-4e04-a1f3-8b42b6addab0,0_15_dm3_s_per_m2,HAS_ENTITY
outdoor,air_flow,SELECTION
air_flow,used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,SELECTION
used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,0_15_dm3_s_per_m2,SELECTION
outdoor,air_flow,GREATER_EQUAL
air_flow,used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,GREATER_EQUAL
used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,0_15_dm3_s_per_m2,GREATER_EQUAL
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,fire_resistance_time_requirement,HAS_ENTITY
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,balconies,HAS_ENTITY
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,half,HAS_ENTITY
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,load_bearing_structures,HAS_ENTITY
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,storey,HAS_ENTITY
fire_resistance_time_requirement,balconies,PART_OF
balconies,half,PART_OF
half,load_bearing_structures,PART_OF
load_bearing_structures,storey,PART_OF
fire_resistance_time_requirement,balconies,EQUAL
balconies,half,EQUAL
half,load_bearing_structures,EQUAL
load_bearing_structures,storey,EQUAL
fire_resistance_time_requirement,balconies,NONE
balconies,half,NONE
half,load_bearing_structures,NONE
load_bearing_structures,storey,NONE
Sentence_e8e5b04a-e794-4933-b846-aefb5457f60b,toilet_seat,HAS_ENTITY
Sentence_e8e5b04a-e794-4933-b846-aefb5457f60b,placed_between_200_and_300_millimetres_from_the_rear_wall,HAS_ENTITY
toilet_seat,placed_between_200_and_300_millimetres_from_the_rear_wall,NECESSITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,shutoff_valves,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,house,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,apartment,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,vertical,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,service_pipes,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,both_sides,HAS_ENTITY
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,devices,HAS_ENTITY
